Round,Turn,Entity,Nell cash,Bob cash,Pete cash,Malvoy cash,Nell net,Bob net,Pete net,Malvoy net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Norfolk & Western cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Norfolk & Western np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Norfolk & Western val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Norfolk & Western pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Norfolk & Western sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Norfolk & Western or,Train 
1,5,0,265,10,80,250,40,233,487,298,352,570,313,670,684,448,564,0,0,526,0,682,655,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
2,0,Pennsylvania,265,10,80,250,64,233,487,298,352,570,337,670,684,448,564,0,0,526,0,682,711,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
2,1,New York New Haven & Hartford,265,10,80,250,64,269,487,298,352,570,337,706,684,448,564,0,0,526,0,766,711,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
2,2,Chesapeake & Ohio,265,10,80,259,64,275,487,298,352,579,337,712,684,448,579,0,0,526,0,766,711,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,3,0,0,0,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
2,3,Boston & Maine,265,43,91,259,64,275,487,331,363,579,337,712,684,514,579,0,0,526,0,766,711,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,11,3,0,0,0,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
2,4,New York Central,295,43,91,269,64,275,517,331,363,589,337,712,684,514,579,0,0,586,0,766,711,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,11,3,0,0,10,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
2,5,Baltimore & Ohio,295,52,118,269,64,275,517,340,390,589,337,712,729,514,579,0,0,586,0,766,711,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,9,11,3,0,0,10,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
3,0,Pennsylvania,295,52,118,269,88,275,517,340,390,589,361,712,729,514,579,0,0,586,0,766,767,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,0,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
3,1,New York New Haven & Hartford,295,52,118,269,88,311,517,340,390,589,361,748,729,514,579,0,0,586,0,850,767,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,0,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
3,2,Chesapeake & Ohio,295,52,118,278,88,317,517,340,390,598,361,754,729,514,594,0,0,586,0,850,767,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,3,0,0,0,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
3,3,Boston & Maine,295,85,129,278,88,317,517,373,401,598,361,754,729,580,594,0,0,586,0,850,767,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,11,3,0,0,0,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
3,4,New York Central,325,85,129,288,88,317,547,373,401,608,361,754,729,580,594,0,0,646,0,850,767,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,11,3,0,0,10,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
3,5,Baltimore & Ohio,325,94,156,288,88,317,547,382,428,608,361,754,774,580,594,0,0,646,0,850,767,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,9,11,3,0,0,10,0,12,8,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
3,4,New York Central,355,85,129,298,88,317,577,373,401,618,361,754,729,580,594,0,0,706,0,850,767,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,0,0,0,0,0,10,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
3,5,Baltimore & Ohio,70,94,156,298,88,40,292,382,428,618,361,477,774,580,594,0,0,706,0,850,767,0,0,90,110,30,0,0,100,0,120,80,0,0,66,74,82,34,34,74,34,91,91,34,34,9,0,0,0,0,10,0,0,0,0,0,5,6,5,10,10,6,10,7,7,10,10,0,0,0,0,0,0,0,0,0,0,0,11
