SEQ,Round,Turn,Entity,Bob cash,Pete cash,Nel cash,Sue cash,Mal cash,Bob net,Pete net,Nel net,Sue net,Mal net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Train ,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or
76,2,2,Baltimore & Ohio,116,127,86,92,181,560,775,710,696,701,168,0,0,0,0,115,0,0,5,0,120,0,0,0,0,110,0,0,130,0,74,34,34,34,34,110,34,34,100,34,20,0,0,0,0,21,0,0,22,0,0,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,11,1.62,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.30,0.00
77,3,0,New York Central,116,127,146,128,205,560,775,825,765,747,168,0,0,0,0,95,0,0,5,0,120,0,0,0,0,120,0,0,130,0,74,34,34,34,34,121,34,34,100,34,0,0,0,0,0,23,0,0,0,0,0,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,11,1.62,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.30,0.00
78,3,1,Pennsylvania,116,197,146,156,247,560,895,825,813,819,168,0,0,0,0,95,0,0,5,0,120,0,0,0,0,120,0,0,140,0,74,34,34,34,34,121,34,34,110,34,0,0,0,0,0,23,0,0,24,0,0,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,11,1.62,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.27,0.00
79,3,2,Baltimore & Ohio,212,229,162,172,247,704,943,849,837,819,168,0,0,0,0,95,0,0,5,0,160,0,0,0,0,120,0,0,140,0,82,34,34,34,34,121,34,34,110,34,24,0,0,0,0,23,0,0,24,0,0,10,10,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,11,1.95,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.27,0.00
84,1,4,Mal,212,29,162,22,177,704,830,849,837,789,168,0,740,0,0,95,0,0,5,0,160,0,0,0,0,120,0,0,140,0,82,34,74,34,34,121,34,34,91,34,0,0,0,0,0,0,0,0,-19,0,0,10,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,3,0,11,1.95,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.54,0.00
89,1,4,Mal,64,11,14,22,29,656,830,841,829,789,168,444,740,0,0,95,0,0,5,0,160,0,0,0,0,120,0,0,140,0,74,74,74,34,34,121,34,34,91,34,-8,0,0,0,0,0,0,0,-19,0,0,4,0,10,10,0,10,10,0,10,2,0,0,0,0,0,0,0,1,0,11,2.16,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.54,0.00
94,1,4,Mal,64,11,14,22,29,656,830,825,829,773,168,444,740,0,0,95,0,0,5,0,160,0,0,0,0,120,0,0,140,0,74,66,74,34,34,121,34,34,91,34,-8,-8,0,0,0,0,0,0,-19,0,0,4,0,10,10,0,10,10,0,10,0,2,0,0,0,0,0,0,1,0,11,2.16,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.54,0.00
99,1,4,Mal,64,11,14,22,29,656,830,825,829,773,168,312,740,0,0,95,0,0,5,0,160,0,0,0,0,120,0,0,140,0,74,66,74,34,34,121,34,34,91,34,-8,-8,0,0,0,0,0,0,-19,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,11,2.16,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.54,0.00
104,1,4,Mal,64,11,14,22,29,656,830,825,829,773,168,312,740,0,0,95,0,0,5,0,160,0,0,0,0,120,0,0,140,0,74,66,74,34,34,121,34,34,91,34,-8,-8,0,0,0,0,0,0,-19,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,11,2.16,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.54,0.00
105,2,0,New York Central,64,11,14,22,29,656,749,825,829,773,168,312,740,0,0,195,0,0,5,0,160,0,0,0,0,120,0,0,140,0,74,66,74,34,34,121,34,34,82,34,0,0,0,0,0,0,0,0,0,0,0,6,0,10,10,0,10,10,0,10,0,0,0,0,0,0,0,0,1,0,11,2.16,0.00,0.00,0.00,0.00,0.99,0.00,0.00,1.71,0.00
